Player,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
Bean ,ADC,6,16.7%,2.5,4,3.7,5.3,8,389,58.2%,22.5,484,1.18,0.37,0.29,0.16,122,-3,90,16.7%,0%,0,1
Carzzy ,ADC,11,36.4%,2.7,3.9,3.5,5.4,8.9,417,59.7%,25.7,481,1.21,0.37,0.33,0.11,-310,-6,-264,36.4%,9.1%,0,1
Deft ,ADC,10,40%,3.8,4,2.3,4.7,8.9,410,72.1%,30.4,562,1.26,0.55,0.28,0.18,-139,5,-81,20%,0%,0,-
FBI ,ADC,6,50%,3.6,3.8,2.3,4.7,9.3,418,72%,29.6,430,1.12,0.49,0.28,0.2,626,8,253,16.7%,16.7%,0,-
GALA ,ADC,12,58.3%,5.2,4.3,1.8,4.8,9.3,434,51.4%,24.1,468,1.17,0.38,0.33,0.14,123,7,252,25%,0%,0,3
Ghost ,ADC,19,73.7%,5.8,3.8,1.6,5.4,8.8,423,60.5%,24.1,463,1.14,0.53,0.25,0.21,268,1,137,0%,0%,0,1
Gumayusi ,ADC,14,71.4%,7.2,3.5,1,3.7,10.2,456,56.3%,26.5,459,1.18,0.47,0.33,0.2,391,9,187,28.6%,0%,0,-
Hans sama ,ADC,8,37.5%,4.7,4.1,1.9,4.6,9.8,439,64%,27.2,463,1.48,0.47,0.49,0.15,28,5,40,0%,0%,0,4
Light ,ADC,7,42.9%,7.9,2.9,1,5,9.6,415,53.9%,30.9,506,1.15,0.38,0.37,0.09,283,-1,28,0%,0%,0,4
Lwx ,ADC,7,28.6%,1.9,3,2.9,2.4,9.4,406,56%,21.4,288,1.07,0.41,0.33,0.15,-248,-11,-432,28.6%,0%,0,1
Ruler ,ADC,16,62.5%,5.9,3.5,1.6,5.7,9.4,440,65.8%,25.2,440,1.45,0.55,0.4,0.25,220,5,-29,12.5%,12.5%,0,2
Tactical ,ADC,7,42.9%,2.2,2,2.4,3.4,9.3,401,56.8%,25.9,453,0.94,0.5,0.18,0.21,-621,-8,140,0%,14.3%,0,1
Unified ,ADC,6,50%,4,2.3,2,5.7,8.3,384,54.4%,20.3,384,1.24,0.48,0.28,0.19,-763,-19,-549,0%,16.7%,0,-
Viper ,ADC,21,61.9%,4.3,3.5,2,5,9.2,417,67.3%,25.6,477,1.49,0.56,0.38,0.22,102,0,-51,23.8%,9.5%,0,-
Yutapon ,ADC,6,0%,1.5,2,2.7,2,9.1,370,41.9%,21.6,329,0.86,0.26,0.31,0.04,-1096,-18,-80,16.7%,16.7%,0,1
Zven ,ADC,10,30%,2.4,2.4,2.9,4.5,9.3,405,55.7%,24.5,378,1.2,0.43,0.35,0.11,-235,1,24,30%,0%,0,-
