Player,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
Blaber ,JUNGLE,10,30%,3.4,2.4,2.6,6.4,6.2,336,69%,17.4,280,1.58,0.34,0.54,0.27,239,12,308,40%,10%,0,-
Bwipo ,JUNGLE,6,16.7%,2.5,3.7,5,8.7,6.2,357,75.4%,20.6,442,1.44,0.39,0.43,0.46,274,26,807,16.7%,16.7%,0,-
Canyon ,JUNGLE,19,73.7%,5.4,2.9,1.8,6.8,5.2,334,65.3%,13.2,253,1.53,0.63,0.33,0.38,136,-5,-232,42.1%,0%,0,3
Clid ,JUNGLE,16,62.5%,3.2,3.3,3.1,6.4,5.1,328,67.2%,16.3,285,1.7,0.6,0.49,0.41,130,-5,-80,37.5%,6.3%,0,2
Closer ,JUNGLE,6,50%,2.4,2.2,3.3,5.7,5.6,309,72.1%,11.5,184,1.31,0.48,0.41,0.34,-181,3,257,33.3%,33.3%,0,-
Elyoya ,JUNGLE,11,36.4%,2.7,3,4,7.7,5.4,327,71.5%,13.5,258,1.51,0.39,0.45,0.36,-106,2,40,9.1%,0%,0,1
Inspired ,JUNGLE,8,37.5%,2.9,3.3,3.1,5.8,5.4,325,61.6%,17.5,300,1.78,0.35,0.33,0.2,92,-2,5,12.5%,0%,0,4
Jiejie ,JUNGLE,21,61.9%,3.9,2.2,2.5,7.4,5.2,327,74.5%,14.6,269,1.64,0.43,0.48,0.38,170,6,226,52.4%,0%,0,-
Oner ,JUNGLE,14,71.4%,4.8,3.1,1.7,5.1,5.6,348,71.9%,16.9,315,1.59,0.39,0.55,0.26,264,1,-172,50%,7.1%,0,2
River ,JUNGLE,6,50%,3.7,2.5,3,8.5,5.5,327,68.3%,15.9,307,1.37,0.36,0.37,0.26,-259,-8,-48,33.3%,50%,0,1
Santorin ,JUNGLE,7,42.9%,4.3,1.7,2.1,7.6,4.9,311,88%,13.9,246,1.47,0.39,0.47,0.33,-322,-6,-173,28.6%,28.6%,0,-
Steal ,JUNGLE,6,0%,1,1.2,4,3,5.1,291,68.4%,17.4,233,1.7,0.63,0.49,0.36,-652,-11,-364,33.3%,16.7%,0,1
Tarzan ,JUNGLE,7,42.9%,5.1,1.7,1.6,6.3,5.4,312,71.3%,13.7,236,1.52,0.39,0.39,0.26,29,7,400,42.9%,14.3%,0,1
Tian ,JUNGLE,7,28.6%,1.7,1.4,3.3,4,5.4,308,71.9%,12.3,171,1.64,0.52,0.45,0.45,-581,-3,-190,0%,14.3%,0,1
Wei ,JUNGLE,12,58.3%,3.6,4.4,3.4,7.9,4.9,346,78.5%,19.7,377,1.67,0.5,0.48,0.44,-160,-6,-289,33.3%,8.3%,0,-
Willer ,JUNGLE,10,40%,3.2,2.5,2.8,6.4,5.2,311,60.1%,12.3,221,1.56,0.52,0.38,0.46,-96,-6,-91,40%,0%,0,-
