Player,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
Abbedagge ,MID,6,50%,2.6,2.5,2.7,4.3,8.7,372,58.9%,22.2,349,1.35,0.53,0.24,0.24,-883,-6,-466,0%,16.7%,0,1
Aria ,MID,6,0%,2.6,2.3,2.2,3.3,7.9,348,68.5%,28.7,396,1.01,0.4,0.21,0.15,263,0,76,50%,0%,0,3
Bdd ,MID,16,62.5%,3.8,3.3,2.5,6.3,8,389,68.6%,30.4,539,1.07,0.44,0.21,0.19,264,4,335,43.8%,12.5%,0,3
Chovy ,MID,10,40%,3.9,3.5,2.3,5.4,9.1,417,73.2%,31,570,1.61,0.49,0.45,0.11,689,26,686,30%,10%,0,3
Cryin ,MID,12,58.3%,5.2,2.6,2.3,9.5,7,368,74.5%,23.5,425,1.01,0.42,0.15,0.15,-164,-14,-194,25%,8.3%,0,-
Doinb ,MID,7,28.6%,1.9,1.6,2.9,3.9,9,405,62.3%,24.8,338,1.21,0.39,0.22,0.13,-496,-14,-348,0%,28.6%,0,1
Faker ,MID,14,71.4%,4.7,1.9,1.4,4.8,8.2,383,51.1%,21,364,1.12,0.48,0.28,0.22,1,-7,-109,35.7%,21.4%,0,2
Humanoid ,MID,11,36.4%,2.7,4.2,3.8,6,8.9,419,68.2%,28.5,534,1.12,0.44,0.24,0.1,200,-1,134,0%,9.1%,0,6
Jensen ,MID,7,42.9%,3.8,3.4,2.1,4.7,8.4,404,78.4%,29.4,495,0.79,0.3,0.14,0.14,-261,-8,-258,14.3%,0%,0,1
Larssen ,MID,8,37.5%,3.3,3.1,2.4,4.6,8.7,398,58.7%,19.3,323,0.81,0.35,0.14,0.07,-263,5,114,12.5%,0%,0,-
Maple ,MID,6,50%,3.5,4.3,2.7,5,8,384,66.7%,24.2,445,1.03,0.42,0.2,0.16,-941,-14,-815,0%,0%,0,3
Nisqy ,MID,6,16.7%,2.3,3.2,4.8,7.8,7.8,388,63.7%,23.9,522,1.05,0.44,0.18,0.15,-75,-5,5,16.7%,16.7%,0,1
Perkz ,MID,10,30%,3,3.3,2.8,5.2,9,414,69.2%,23.5,372,0.95,0.43,0.22,0.14,134,4,109,30%,30%,0,1
Scout ,MID,21,61.9%,4.7,3.3,1.8,5.2,8.6,399,69.4%,22.7,415,1.19,0.35,0.26,0.14,115,4,-25,42.9%,9.5%,0,5
ShowMaker ,MID,19,73.7%,7.4,3.9,1.4,6.6,8.3,409,68%,27.1,506,1.44,0.51,0.36,0.21,283,2,51,31.6%,5.3%,0,4
icon ,MID,7,42.9%,2.5,3.9,3.1,4,8.5,391,57.7%,22.9,388,0.8,0.39,0.14,0.14,-468,7,-123,28.6%,14.3%,0,3
