Player,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
BeryL ,SUPPORT,19,73.7%,4.3,1.2,2.3,8.7,1.3,250,67.7%,9.2,173,3.35,1.93,0.57,0.54,275,3,267,10.5%,15.8%,0,1
CoreJJ ,SUPPORT,7,42.9%,2.1,0.9,3.6,6.7,1.1,224,60.8%,6.2,104,3.07,1.68,0.47,0.42,79,7,91,0%,14.3%,0,-
Crisp ,SUPPORT,7,28.6%,2,0.9,2.9,4.7,0.9,214,55.9%,6.8,89,2.78,1.89,0.34,0.6,-261,0,-171,28.6%,0%,0,-
Gaeng ,SUPPORT,6,0%,1,0.3,3.8,3.7,1,202,42.3%,10.3,137,2.44,1.66,0.33,0.65,-957,4,-125,16.7%,0%,0,-
Huhi ,SUPPORT,6,50%,4.2,1.7,2.3,8.2,0.7,237,82.4%,11,178,3.08,2.02,0.41,0.54,522,-6,76,33.3%,0%,0,-
Hylissang ,SUPPORT,6,16.7%,1.4,0.5,7.8,10.8,0.9,228,71.5%,9.1,188,2.85,1.69,0.36,0.45,161,-3,346,16.7%,0%,0,-
Iwandy ,SUPPORT,7,42.9%,3.9,0.7,2,7,1,226,52.7%,6.6,102,2.84,1.71,0.4,0.51,1,0,120,14.3%,0%,0,-
Kaiser ,SUPPORT,11,36.4%,3.6,0.9,3.1,10.2,0.9,228,70.8%,8,153,3.16,2.05,0.42,0.5,-88,-1,-141,36.4%,0%,0,-
Kaiwing ,SUPPORT,6,50%,5,0.5,2.2,10.3,0.7,218,74.6%,11.1,219,2.52,1.76,0.26,0.52,-321,-5,-202,16.7%,0%,0,-
Keria ,SUPPORT,14,71.4%,7.5,0.6,1.2,8.6,0.9,252,70.1%,7.4,136,2.56,1.82,0.3,0.61,354,-1,51,35.7%,0%,0,-
Life ,SUPPORT,16,62.5%,4.3,1.2,2.4,9.3,0.7,234,71.9%,6.9,127,2.57,1.66,0.34,0.53,-1,-2,-203,12.5%,0%,0,-
Ming ,SUPPORT,12,58.3%,2.6,1.2,3.8,8.8,1,233,63%,6.9,132,2.84,1.71,0.34,0.49,-12,9,-18,25%,8.3%,0,-
Trymbi ,SUPPORT,8,37.5%,2.6,0.8,3.9,9.5,0.8,221,70.6%,8.8,147,3.08,1.92,0.35,0.5,-154,-1,99,12.5%,50%,0,-
Vsta ,SUPPORT,10,40%,2.9,0.8,3.1,8.1,1,224,61.6%,7.4,133,2.73,1.71,0.34,0.58,-14,0,-124,20%,20%,0,-
Vulcan ,SUPPORT,10,30%,2.5,0.7,3.5,8,0.9,222,70%,9.7,143,2.84,1.74,0.35,0.6,10,0,-68,40%,10%,0,-
meiko ,SUPPORT,21,61.9%,4.9,0.7,2,9,0.8,236,77.8%,8.4,156,2.87,1.69,0.39,0.44,-140,-4,-23,23.8%,9.5%,0,-
