Player,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
Adam,TOP,6,16.7%,1.4,4.3,6.5,5,7.6,394,54.2%,24,528,0.95,0.32,0.22,0.11,-776,-11,-590,16.7%,33.3%,0,3
Ale ,TOP,7,42.9%,2.7,3.4,2.9,4.1,8.8,413,61.2%,25.9,417,0.9,0.33,0.22,0.17,-37,-2,225,42.9%,14.3%,0,8
Alphari ,TOP,7,42.9%,2.4,2.7,2.4,3.1,8.6,396,61.4%,24.6,394,1.06,0.48,0.15,0.16,462,9,128,14.3%,14.3%,0,-
Armut ,TOP,11,36.4%,2.1,3.2,4.2,5.5,7.8,387,58.2%,24.2,430,1.14,0.44,0.25,0.16,-19,1,-108,9.1%,36.4%,0,2
Burdol ,TOP,3,66.7%,1.3,3.3,6.3,5,7.8,397,56%,21.2,387,0.81,0.27,0.23,0.12,-991,-32,-955,33.3%,33.3%,0,1
Canna ,TOP,14,71.4%,3.8,2.6,1.9,4.5,8.5,410,62.2%,28.3,477,1.06,0.4,0.22,0.21,561,4,169,50%,0%,0,5
Evi ,TOP,6,0%,1.1,1.7,4.2,3,7,323,54.7%,22,331,0.94,0.3,0.28,0.15,-713,-16,-398,16.7%,0%,0,3
Flandre ,TOP,21,61.9%,2.8,2.7,2.5,4.3,9.4,427,55.8%,28.7,531,1.06,0.26,0.31,0.12,336,8,-3,14.3%,14.3%,0,2
Fudge ,TOP,10,30%,2.7,3.2,2.7,4.1,8.1,385,57.5%,24.9,398,1.06,0.44,0.14,0.14,-336,-10,-174,0%,0%,0,4
Hanabi ,TOP,6,50%,4.1,5.8,3,6.3,8.4,433,76.9%,28.5,560,1.28,0.38,0.39,0.18,-58,-7,-233,33.3%,0%,0,5
Khan ,TOP,19,73.7%,3.3,3.5,2.9,5.9,8.6,418,61.4%,26.3,508,1.28,0.44,0.32,0.25,217,5,379,31.6%,26.3%,1,9
Morgan ,TOP,10,40%,2.5,1.8,3.2,6.3,7.9,371,69.7%,18.9,351,1.07,0.38,0.24,0.27,-105,-4,-101,10%,20%,0,-
Nuguri ,TOP,7,28.6%,1.3,2.1,4,3.1,8.3,370,57.5%,34.7,476,1.11,0.34,0.26,0.18,-155,6,-41,0%,28.6%,0,6
Odoamne ,TOP,8,37.5%,1.9,2,3.3,4.3,8,369,45%,27.2,469,1.25,0.39,0.28,0.12,-828,-9,-476,12.5%,25%,0,3
Rascal ,TOP,13,61.5%,2.7,2.8,2.5,3.9,8.8,410,48.2%,21.1,360,1.08,0.37,0.28,0.23,157,2,84,15.4%,7.7%,0,3
ssumday ,TOP,6,50%,3.1,1.8,2.2,4.8,7.9,355,50.4%,25.6,412,1.14,0.49,0.16,0.18,-882,-14,-145,0%,0%,0,-
xiaohu ,TOP,12,58.3%,3.8,3.8,2.8,6.5,8.9,427,59%,25.7,505,1.09,0.38,0.23,0.15,485,14,504,25%,16.7%,0,3
